Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
,,,,,
Rank:1,Major:Petroleum Engineering,Degree Type:Bachelors,"Early Career Pay:$93,200","Mid-Career Pay:$187,300",% High Meaning:67%
Rank:2,Major:Operations Research & Industrial Engineering,Degree Type:Bachelors,"Early Career Pay:$84,800","Mid-Career Pay:$170,400",% High Meaning:28%
Rank:3,Major:Electrical Engineering & Computer Science (EECS),Degree Type:Bachelors,"Early Career Pay:$108,500","Mid-Career Pay:$159,300",% High Meaning:46%
Rank:4,Major:Interaction Design,Degree Type:Bachelors,"Early Career Pay:$68,300","Mid-Career Pay:$155,800",% High Meaning:55%
Rank:5,Major:Public Accounting,Degree Type:Bachelors,"Early Career Pay:$59,800","Mid-Career Pay:$147,700",% High Meaning:47%
Rank:6,Major:Operations Research,Degree Type:Bachelors,"Early Career Pay:$83,500","Mid-Career Pay:$147,400",% High Meaning:54%
Rank:7,Major:Applied Economics and Management,Degree Type:Bachelors,"Early Career Pay:$66,100","Mid-Career Pay:$146,400",% High Meaning:67%
Rank:8,Major:Business Computing (BC),Degree Type:Bachelors,"Early Career Pay:$73,000","Mid-Career Pay:$143,600",% High Meaning:-
Rank:9,Major:Actuarial Mathematics,Degree Type:Bachelors,"Early Career Pay:$64,300","Mid-Career Pay:$143,400",% High Meaning:51%
Rank:10,Major:Electrical Power Engineering,Degree Type:Bachelors,"Early Career Pay:$76,100","Mid-Career Pay:$142,600",% High Meaning:68%
Rank:11,Major:Information & Computer Science,Degree Type:Bachelors,"Early Career Pay:$58,600","Mid-Career Pay:$140,900",% High Meaning:62%
Rank:12,Major:Aeronautics & Astronautics,Degree Type:Bachelors,"Early Career Pay:$77,600","Mid-Career Pay:$139,600",% High Meaning:56%
Rank:13,Major:Systems Engineering,Degree Type:Bachelors,"Early Career Pay:$77,700","Mid-Career Pay:$139,200",% High Meaning:53%
Rank:14,Major:Econometrics,Degree Type:Bachelors,"Early Career Pay:$64,200","Mid-Career Pay:$139,000",% High Meaning:35%
Rank:15,Major:Pharmacy,Degree Type:Bachelors,"Early Career Pay:$68,600","Mid-Career Pay:$138,700",% High Meaning:78%
Rank:16,Major:Aerospace Studies,Degree Type:Bachelors,"Early Career Pay:$55,800","Mid-Career Pay:$136,600",% High Meaning:-
Rank:17,Major:Building Science,Degree Type:Bachelors,"Early Career Pay:$53,800","Mid-Career Pay:$135,900",% High Meaning:53%
Rank:17,Major:Chemical Engineering,Degree Type:Bachelors,"Early Career Pay:$76,900","Mid-Career Pay:$135,900",% High Meaning:55%
Rank:19,Major:Cognitive Science,Degree Type:Bachelors,"Early Career Pay:$68,700","Mid-Career Pay:$135,200",% High Meaning:42%
Rank:20,Major:Actuarial Science,Degree Type:Bachelors,"Early Career Pay:$67,700","Mid-Career Pay:$134,400",% High Meaning:43%
Rank:21,Major:Political Economy,Degree Type:Bachelors,"Early Career Pay:$65,100","Mid-Career Pay:$133,500",% High Meaning:29%
Rank:22,Major:Computer Systems Engineering,Degree Type:Bachelors,"Early Career Pay:$79,000","Mid-Career Pay:$133,200",% High Meaning:51%
Rank:23,Major:Electrical & Computer Engineering (ECE),Degree Type:Bachelors,"Early Career Pay:$78,100","Mid-Career Pay:$131,600",% High Meaning:49%
Rank:24,Major:Computer Science (CS) & Engineering,Degree Type:Bachelors,"Early Career Pay:$79,400","Mid-Career Pay:$131,300",% High Meaning:44%
Rank:24,Major:Marine Engineering,Degree Type:Bachelors,"Early Career Pay:$79,900","Mid-Career Pay:$131,300",% High Meaning:60%
